fc_dim: 64, eps_dec: 2e-05, lr: 0.00015, avg_score: -79.38, done: False, time: 170.92, episodes: 255
fc_dim: 64, eps_dec: 2e-05, lr: 0.00016, avg_score: -116.81, done: False, time: 84.37, episodes: 168
fc_dim: 64, eps_dec: 2e-05, lr: 0.00017, avg_score: -153.94, done: False, time: 92.23, episodes: 183
fc_dim: 64, eps_dec: 2e-05, lr: 0.00018, avg_score: -178.66, done: False, time: 7.64, episodes: 7
fc_dim: 64, eps_dec: 2e-05, lr: 0.00019, avg_score: -168.59, done: False, time: 87.88, episodes: 179
fc_dim: 64, eps_dec: 2e-05, lr: 0.00020, avg_score: -124.97, done: False, time: 82.01, episodes: 171
fc_dim: 64, eps_dec: 2e-05, lr: 0.00021, avg_score: -92.89, done: False, time: 111.87, episodes: 210
fc_dim: 64, eps_dec: 2e-05, lr: 0.00022, avg_score: -121.08, done: False, time: 63.12, episodes: 132
fc_dim: 64, eps_dec: 2e-05, lr: 0.00023, avg_score: -89.66, done: False, time: 188.98, episodes: 272
fc_dim: 64, eps_dec: 2e-05, lr: 0.00024, avg_score: -75.08, done: False, time: 113.23, episodes: 229
fc_dim: 64, eps_dec: 2e-05, lr: 0.00025, avg_score: -69.26, done: False, time: 141.34, episodes: 242
fc_dim: 64, eps_dec: 2e-05, lr: 0.00026, avg_score: -161.94, done: False, time: 70.79, episodes: 147
fc_dim: 64, eps_dec: 2e-05, lr: 0.00027, avg_score: -143.36, done: False, time: 49.80, episodes: 107
fc_dim: 64, eps_dec: 2e-05, lr: 0.00028, avg_score: -117.76, done: False, time: 94.52, episodes: 189
fc_dim: 64, eps_dec: 2e-05, lr: 0.00029, avg_score: -87.65, done: False, time: 117.01, episodes: 214
fc_dim: 64, eps_dec: 2e-05, lr: 0.00030, avg_score: -107.14, done: False, time: 89.56, episodes: 183
fc_dim: 64, eps_dec: 2e-05, lr: 0.00031, avg_score: -66.77, done: False, time: 153.87, episodes: 251
fc_dim: 64, eps_dec: 2e-05, lr: 0.00032, avg_score: -147.90, done: False, time: 49.87, episodes: 111
fc_dim: 64, eps_dec: 2e-05, lr: 0.00033, avg_score: -126.02, done: False, time: 91.88, episodes: 189
fc_dim: 64, eps_dec: 2e-05, lr: 0.00034, avg_score: -97.11, done: False, time: 111.29, episodes: 212
fc_dim: 64, eps_dec: 2e-05, lr: 0.00035, avg_score: -101.16, done: False, time: 93.11, episodes: 179
fc_dim: 64, eps_dec: 2e-05, lr: 0.00036, avg_score: -73.27, done: False, time: 172.46, episodes: 258
fc_dim: 64, eps_dec: 2e-05, lr: 0.00037, avg_score: -70.92, done: False, time: 147.27, episodes: 238
fc_dim: 64, eps_dec: 2e-05, lr: 0.00038, avg_score: -166.02, done: False, time: 36.59, episodes: 70
fc_dim: 64, eps_dec: 2e-05, lr: 0.00039, avg_score: -77.81, done: False, time: 157.07, episodes: 242
fc_dim: 64, eps_dec: 2e-05, lr: 0.00040, avg_score: -117.11, done: False, time: 94.78, episodes: 175
fc_dim: 64, eps_dec: 2e-05, lr: 0.00041, avg_score: -103.60, done: False, time: 100.22, episodes: 176
fc_dim: 64, eps_dec: 2e-05, lr: 0.00042, avg_score: -70.87, done: False, time: 142.92, episodes: 236
fc_dim: 64, eps_dec: 2e-05, lr: 0.00043, avg_score: -80.45, done: False, time: 136.72, episodes: 226
fc_dim: 64, eps_dec: 2e-05, lr: 0.00044, avg_score: -148.48, done: False, time: 163.74, episodes: 262
fc_dim: 64, eps_dec: 2e-05, lr: 0.00045, avg_score: -92.20, done: False, time: 112.90, episodes: 200
fc_dim: 64, eps_dec: 2e-05, lr: 0.00046, avg_score: -70.43, done: False, time: 164.69, episodes: 271
